            EDP            DS1            DS2            DS3            DS4          E(DS)
            0.0            0.0            0.0            0.0            0.0            0.0
           0.01        0.95844            0.5      0.0140022     0.00141204        1.47385
           0.02       0.999736        0.93826       0.208703      0.0335487        2.18025
           0.03       0.999996       0.992684            0.5       0.123995        2.61668
           0.04            1.0       0.998967       0.717477       0.249592        2.96604
           0.05            1.0       0.999826       0.846527       0.380614        3.22697
           0.06            1.0       0.999966       0.917171            0.5        3.41714
           0.07            1.0       0.999992       0.954924       0.601379         3.5563
           0.08            1.0       0.999998       0.975099       0.684198        3.65929
           0.09            1.0       0.999999       0.985998       0.750408        3.73641
            0.1            1.0            1.0       0.991979        0.80272         3.7947
           0.11            1.0            1.0       0.995319       0.843807        3.83913
           0.12            1.0            1.0       0.997219       0.876005        3.87322
           0.13            1.0            1.0        0.99832        0.90124        3.89956
           0.14            1.0            1.0       0.998968       0.921049        3.92002
           0.15            1.0            1.0       0.999357       0.936638        3.93599
           0.16            1.0            1.0       0.999593       0.948946        3.94854
           0.17            1.0            1.0       0.999739       0.958697        3.95844
           0.18            1.0            1.0       0.999831       0.966451        3.96628
           0.19            1.0            1.0       0.999889       0.972642        3.97253
            0.2            1.0            1.0       0.999926       0.977605        3.97753
