            EDP            DS1            DS2            DS3            DS4          E(DS)
            0.0            0.0            0.0            0.0            0.0            0.0
           0.01         0.9906       0.581282       0.131788    2.68674e-05         1.7037
           0.02       0.999982       0.998548            0.5      0.0172854        2.51582
           0.03            1.0       0.999998       0.743436       0.161807        2.90524
           0.04            1.0            1.0       0.868212       0.425462        3.29367
           0.05            1.0            1.0       0.930281       0.667094        3.59738
           0.06            1.0            1.0       0.961799       0.825968        3.78777
           0.07            1.0            1.0       0.978339       0.914116        3.89246
           0.08            1.0            1.0       0.987323       0.958848        3.94617
           0.09            1.0            1.0       0.992365       0.980522        3.97289
            0.1            1.0            1.0       0.995282       0.990796        3.98608
           0.11            1.0            1.0       0.997017        0.99563        3.99265
           0.12            1.0            1.0       0.998073       0.997907        3.99598
           0.13            1.0            1.0       0.998732       0.998986        3.99772
           0.14            1.0            1.0       0.999151       0.999503        3.99865
           0.15            1.0            1.0       0.999423       0.999753        3.99918
           0.16            1.0            1.0       0.999602       0.999875        3.99948
           0.17            1.0            1.0       0.999721       0.999936        3.99966
           0.18            1.0            1.0       0.999803       0.999967        3.99977
           0.19            1.0            1.0       0.999859       0.999983        3.99984
            0.2            1.0            1.0       0.999898       0.999991        3.99989
