            EDP            DS1            DS2            DS3            DS4          E(DS)
            0.0            0.0            0.0            0.0            0.0            0.0
           0.01     4.0521e-08    3.51447e-11    8.25265e-15    5.20909e-19    4.05562e-08
           0.02    1.27941e-05     4.0521e-08    3.51447e-11    8.25265e-15    1.28347e-05
           0.03    0.000204837     1.3726e-06    2.54408e-09    1.28431e-12    0.000206212
           0.04     0.00112792    1.27941e-05     4.0521e-08    3.51447e-11     0.00114076
           0.05     0.00365484    6.21107e-05    2.97417e-07    3.92003e-10     0.00371725
           0.06     0.00869098    0.000204837     1.3726e-06    2.54408e-09     0.00889719
           0.07      0.0169353    0.000524852    4.66598e-06    1.15283e-08      0.0174648
           0.08      0.0287785     0.00112792    1.27941e-05     4.0521e-08      0.0299192
           0.09      0.0443072     0.00213162    2.99451e-05    1.17998e-07      0.0464689
            0.1      0.0633617     0.00365484    6.21107e-05    2.97417e-07       0.067079
           0.11       0.085609     0.00580889    0.000117171    6.68959e-07      0.0915357
           0.12       0.110612     0.00869098    0.000204837     1.3726e-06       0.119509
           0.13       0.137884      0.0123801    0.000336476    2.61165e-06       0.150603
           0.14       0.166931      0.0169353    0.000524852    4.66598e-06       0.184396
           0.15        0.19728       0.022395    0.000783807     7.9042e-06       0.220467
           0.16       0.228495      0.0287785     0.00112792    1.27941e-05       0.258414
           0.17       0.260186      0.0360872     0.00157218    1.99113e-05       0.297866
           0.18       0.292015      0.0443072     0.00213162    2.99451e-05       0.338484
           0.19       0.323694      0.0534114     0.00282107    4.37029e-05        0.37997
            0.2       0.354981      0.0633617     0.00365484    6.21107e-05        0.42206
